fft_bin_1,fft_bin_2,fft_bin_3,fft_bin_4,fft_bin_5,fft_bin_6,fft_bin_7,fft_bin_8,fft_bin_9,fft_bin_10,label
0.19,0.03,0.02,0.03,0.01,0.03,0.02,0.04,0.05,0.05,0
0.1,0.05,0.04,0.05,0.03,0.03,0.09,0.14,0.16,0.09,0
0.13,0.06,0.03,0.05,0.04,0.01,0.09,0.06,0.04,0.05,0
0.2,0.05,0.06,0.03,0.04,0.08,0.03,0.03,0.04,0.06,0
0.19,0.06,0.06,0.02,0.07,0.08,0.05,0.05,0.04,0.04,0
0.14,0.09,0.03,0.06,0.04,0.03,0.05,0.06,0.03,0.03,0
0.15,0.06,0.04,0.04,0.03,0.04,0.05,0.08,0.05,0.03,0
0.16,0.04,0.05,0.04,0.1,0.08,0.04,0.03,0.02,0.05,0
0.15,0.04,0.09,0.0,0.01,0.05,0.05,0.02,0.04,0.01,0
0.19,0.01,0.06,0.02,0.06,0.06,0.08,0.05,0.04,0.02,0
0.21,0.06,0.01,0.04,0.06,0.07,0.07,0.04,0.03,0.05,0
0.14,0.04,0.07,0.02,0.02,0.06,0.04,0.01,0.05,0.04,0
0.13,0.07,0.02,0.05,0.01,0.04,0.08,0.05,0.01,0.05,0
0.21,0.06,0.03,0.02,0.09,0.05,0.01,0.02,0.04,0.09,0
0.19,0.02,0.04,0.04,0.02,0.05,0.02,0.03,0.04,0.02,0
0.14,0.08,0.06,0.07,0.08,0.03,0.03,0.04,0.06,0.02,0
0.15,0.05,0.05,0.03,0.02,0.08,0.05,0.03,0.08,0.12,0
0.14,0.07,0.03,0.06,0.06,0.06,0.04,0.04,0.05,0.04,0
0.21,0.03,0.05,0.03,0.08,0.06,0.03,0.02,0.02,0.04,0
0.14,0.07,0.05,0.03,0.05,0.03,0.05,0.05,0.04,0.06,0
0.19,0.04,0.07,0.02,0.04,0.01,0.02,0.02,0.01,0.04,0
0.22,0.03,0.05,0.02,0.02,0.04,0.07,0.02,0.05,0.04,0
0.21,0.04,0.05,0.05,0.1,0.05,0.06,0.08,0.05,0.05,0
0.14,0.1,0.04,0.02,0.04,0.02,0.04,0.01,0.05,0.08,0
0.15,0.05,0.05,0.01,0.07,0.06,0.04,0.07,0.06,0.05,0
0.17,0.04,0.09,0.03,0.05,0.02,0.04,0.08,0.08,0.02,0
0.11,0.06,0.09,0.05,0.1,0.1,0.08,0.04,0.06,0.04,0
0.07,0.09,0.03,0.05,0.02,0.04,0.04,0.01,0.05,0.02,0
0.14,0.1,0.01,0.02,0.04,0.05,0.02,0.02,0.04,0.05,0
0.07,0.08,0.07,0.04,0.04,0.04,0.06,0.02,0.03,0.03,0
0.11,0.08,0.02,0.06,0.05,0.03,0.02,0.02,0.05,0.07,0
0.11,0.1,0.05,0.06,0.03,0.04,0.04,0.06,0.05,0.09,0
0.16,0.08,0.08,0.02,0.04,0.03,0.02,0.02,0.03,0.07,0
0.13,0.15,0.07,0.03,0.05,0.06,0.04,0.04,0.04,0.04,0
0.18,0.05,0.07,0.02,0.05,0.09,0.06,0.03,0.04,0.04,0
0.16,0.13,0.06,0.1,0.02,0.02,0.02,0.02,0.02,0.0,0
0.14,0.09,0.04,0.08,0.03,0.01,0.06,0.02,0.08,0.08,0
0.16,0.09,0.0,0.0,0.03,0.05,0.07,0.01,0.04,0.05,0
0.16,0.06,0.04,0.03,0.03,0.09,0.08,0.05,0.04,0.04,0
0.11,0.09,0.03,0.06,0.02,0.06,0.03,0.0,0.02,0.05,0
0.15,0.06,0.04,0.04,0.06,0.05,0.01,0.05,0.07,0.03,0
0.16,0.03,0.05,0.08,0.05,0.06,0.04,0.06,0.06,0.03,0
0.12,0.07,0.02,0.06,0.03,0.03,0.07,0.05,0.06,0.04,0
0.16,0.08,0.03,0.05,0.02,0.08,0.1,0.07,0.05,0.02,0
0.13,0.12,0.04,0.05,0.04,0.07,0.02,0.04,0.03,0.02,0
0.18,0.05,0.12,0.08,0.07,0.02,0.02,0.01,0.03,0.05,0
0.12,0.06,0.06,0.01,0.03,0.04,0.06,0.07,0.09,0.03,0
0.14,0.07,0.04,0.06,0.05,0.03,0.01,0.03,0.03,0.04,0
0.11,0.07,0.06,0.04,0.04,0.03,0.01,0.04,0.11,0.09,0
0.15,0.07,0.04,0.09,0.05,0.05,0.04,0.06,0.06,0.05,0
0.11,0.06,0.04,0.07,0.03,0.02,0.06,0.03,0.03,0.05,0
0.18,0.05,0.02,0.07,0.1,0.03,0.08,0.05,0.03,0.03,0
0.15,0.05,0.08,0.06,0.06,0.03,0.05,0.02,0.02,0.02,0
